,year,month,species,isAdopted
0,2017,1,Cat,False
0,2017,2,Cat,False
0,2017,2,Cat,False
0,2017,3,Dog,False
0,2017,3,House Rabbit,False
0,2017,3,House Rabbit,False
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Dog,False
0,2017,3,Cat,False
0,2017,3,House Rabbit,False
0,2017,3,Dog,True
0,2017,3,Cat,True
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,True
0,2017,3,Cat,False
0,2017,3,Dog,True
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Dog,True
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Dog,False
0,2017,3,Rat,True
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,3,Cat,False
0,2017,4,Dog,True
0,2017,4,House Rabbit,False
0,2017,4,Dog,True
0,2017,4,Cat,True
0,2017,4,Dog,False
0,2017,4,Cat,False
0,2017,4,Cat,True
0,2017,4,Dog,False
0,2017,4,Dog,True
0,2017,4,Cat,True
0,2017,4,Dog,True
0,2017,4,Cat,True
0,2017,4,Cat,True
0,2017,4,Cat,True
0,2017,4,Cat,True
0,2017,4,Dog,True
0,2017,4,Cat,True
0,2017,4,Cat,True
0,2017,4,Dog,True
0,2017,4,Dog,True
0,2017,4,Dog,True
0,2017,4,Dog,True
0,2017,4,Cat,True
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Dog,True
0,2017,4,House Rabbit,True
0,2017,4,Cat,True
0,2017,4,Cat,True
0,2017,4,Dog,True
0,2017,4,Dog,True
0,2017,4,Dog,False
0,2017,4,Dog,True
0,2017,4,Cat,False
0,2017,4,Cat,True
0,2017,4,Cat,True
0,2017,4,Cat,True
0,2017,4,Cat,True
0,2017,4,Dog,True
0,2017,4,Cat,False
0,2017,4,Dog,True
0,2017,4,Cat,False
0,2017,4,Cat,False
0,2017,4,Dog,False
