,speciesname,breedname,days of stay
0,Cat,Domestic Short Hair,1558
0,Dog,Others,5
0,Dog,Others,65
0,Dog,Others,65
0,Cat,Domestic Long Hair,150
0,Cat,Others,7
0,Dog,Others,73
0,Others,House Rabbit,91
0,Others,House Rabbit,126
0,Others,House Rabbit,104
0,Cat,Domestic Short Hair,40
0,Cat,Others,19
0,Cat,Domestic Short Hair,112
0,Cat,Others,27
0,Cat,Others,28
0,Dog,Others,36
0,Dog,Others,38
0,Dog,Others,68
0,Dog,Others,79
0,Cat,Others,15
0,Others,House Rabbit,54
0,Dog,Others,67
0,Dog,Others,31
0,Dog,Others,3
0,Dog,Others,3
0,Dog,Others,4
0,Dog,Others,7
0,Dog,Others,17
0,Dog,Others,7
0,Dog,Beagle,23
0,Dog,Beagle,24
0,Cat,Others,30
0,Cat,Others,27
0,Cat,Others,27
0,Cat,Others,26
0,Cat,Others,32
0,Cat,Others,32
0,Cat,Others,26
0,Cat,Others,27
0,Cat,Others,26
0,Cat,Others,27
0,Cat,Others,31
0,Cat,Domestic Short Hair,28
0,Cat,Domestic Short Hair,31
0,Cat,Domestic Short Hair,28
0,Cat,Domestic Short Hair,31
0,Cat,Domestic Short Hair,38
0,Dog,Others,21
0,Dog,Others,34
0,Dog,Others,43
0,Dog,Others,43
0,Dog,Others,83
0,Cat,Domestic Short Hair,106
0,Cat,Domestic Short Hair,106
0,Cat,Domestic Short Hair,30
0,Cat,Domestic Short Hair,11
0,Cat,Domestic Short Hair,42
0,Cat,Domestic Long Hair,18
0,Cat,Others,21
0,Cat,Others,27
0,Dog,Others,26
0,Dog,Others,27
0,Dog,Others,52
0,Dog,Others,109
0,Dog,Others,70
0,Dog,Others,17
0,Others,House Rabbit,12
0,Others,House Rabbit,32
0,Dog,Others,27
0,Dog,Others,21
0,Dog,Border Collie/Mix,24
0,Dog,Border Collie/Mix,5
0,Dog,Border Collie/Mix,30
0,Dog,Border Collie/Mix,5
0,Dog,Border Collie/Mix,3
0,Dog,Border Collie/Mix,7
0,Dog,Border Collie/Mix,3
0,Dog,Border Collie/Mix,9
0,Dog,Border Collie/Mix,3
0,Dog,Border Collie/Mix,3
0,Dog,Border Collie/Mix,9
0,Dog,Border Collie/Mix,7
0,Dog,Border Collie/Mix,3
0,Dog,Border Collie/Mix,5
0,Dog,Border Collie/Mix,2
0,Dog,Border Collie/Mix,6
0,Dog,Border Collie/Mix,6
0,Dog,Others,73
0,Dog,Others,46
0,Dog,Others,12
0,Dog,Others,8
0,Cat,Domestic Short Hair,36
0,Cat,Domestic Short Hair,61
0,Cat,Domestic Short Hair,11
0,Cat,Domestic Short Hair,42
0,Cat,Domestic Short Hair,10
0,Cat,Domestic Short Hair,21
0,Dog,Others,4
0,Dog,Others,5
0,Dog,Others,11
0,Cat,Domestic Short Hair,31
0,Dog,Others,4
0,Dog,Others,5
0,Dog,Others,11
0,Dog,Others,4
0,Dog,Others,5
0,Dog,Others,5
0,Dog,Others,4
0,Dog,Others,5
0,Dog,Others,5
0,Dog,Others,18
0,Dog,Others,6
0,Cat,Domestic Long Hair,19
0,Dog,Hound/Mix,21
0,Dog,Others,6
0,Dog,Others,26
0,Cat,Others,4
0,Cat,Others,9
0,Cat,Others,4
0,Cat,Domestic Short Hair,87
0,Cat,Domestic Short Hair,150
0,Cat,Domestic Short Hair,3
0,Cat,Domestic Short Hair,4
0,Cat,Domestic Short Hair,3
0,Cat,Domestic Short Hair,3
0,Cat,Domestic Short Hair,33
0,Cat,Domestic Short Hair,15
0,Cat,Domestic Short Hair,4
0,Cat,Domestic Short Hair,20
0,Cat,Domestic Short Hair,18
0,Cat,Domestic Short Hair,12
0,Cat,Domestic Short Hair,11
0,Cat,Domestic Short Hair,15
0,Cat,Domestic Short Hair,11
0,Cat,Domestic Short Hair,12
0,Cat,Domestic Short Hair,11
0,Cat,Domestic Short Hair,12
0,Cat,Domestic Short Hair,13
0,Cat,Domestic Short Hair,11
0,Cat,Domestic Short Hair,16
0,Cat,Domestic Short Hair,11
0,Cat,Domestic Short Hair,17
0,Dog,Pitbull,87
0,Dog,Pitbull,88
0,Cat,Domestic Short Hair,37
0,Cat,Domestic Medium Hair,1
0,Cat,Domestic Medium Hair,3
0,Cat,Domestic Medium Hair,2
0,Cat,Domestic Medium Hair,1
0,Dog,Others,588
0,Dog,Others,604
0,Dog,Others,628
0,Dog,Others,640
0,Dog,Others,643
0,Dog,Others,656
0,Dog,Others,669
0,Dog,Others,673
0,Dog,Others,693
0,Cat,Domestic Long Hair,62
0,Dog,Labrador Retriever,1
0,Cat,Domestic Medium Hair,2
0,Cat,Domestic Medium Hair,2
0,Cat,Domestic Medium Hair,2
0,Cat,Domestic Long Hair,2
0,Cat,Domestic Long Hair,2
0,Cat,Domestic Long Hair,58
0,Cat,Domestic Short Hair,6
0,Cat,Domestic Short Hair,8
0,Cat,Domestic Short Hair,11
0,Dog,German Shepherd Dog,1
0,Dog,Labrador Retriever,20
0,Dog,Others,4
0,Dog,Others,17
0,Dog,Boxer,10
0,Dog,Others,7
0,Dog,Labrador Retriever/Mix,32
0,Cat,Domestic Short Hair,25
0,Cat,Domestic Short Hair,35
0,Cat,Domestic Medium Hair,25
0,Cat,Domestic Short Hair,28
0,Dog,Others,30
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Medium Hair,7
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,7
0,Cat,Domestic Short Hair,30
0,Cat,Domestic Short Hair,8
0,Cat,Domestic Short Hair,7
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,9
0,Cat,Domestic Short Hair,7
0,Cat,Domestic Short Hair,16
0,Cat,Domestic Short Hair,16
0,Cat,Domestic Short Hair,24
0,Cat,Domestic Short Hair,24
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,58
0,Cat,Domestic Short Hair,27
0,Cat,Domestic Short Hair,28
0,Cat,Domestic Short Hair,13
0,Cat,Domestic Short Hair,113
0,Cat,Domestic Short Hair,6
0,Cat,Domestic Short Hair,31
0,Cat,Domestic Short Hair,71
0,Dog,Others,79
0,Dog,Others,2
0,Cat,Domestic Short Hair,13
0,Cat,Domestic Short Hair,19
0,Dog,Others,24
0,Cat,Domestic Short Hair,17
0,Cat,Domestic Short Hair,11
0,Cat,Domestic Short Hair,17
0,Cat,Domestic Short Hair,12
0,Cat,Domestic Short Hair,22
0,Dog,Others,18
0,Cat,Domestic Short Hair,23
0,Cat,Domestic Short Hair,26
0,Dog,Shep Mix,21
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Dog,Chihuahua,16
0,Dog,Bully Breed Mix,2
0,Dog,Others,23
0,Cat,Domestic Short Hair,54
0,Cat,Others,21
0,Cat,Domestic Short Hair,6
0,Cat,Domestic Short Hair,6
0,Dog,Others,19
0,Dog,Labrador Retriever,21
0,Cat,Domestic Short Hair,1
0,Cat,Domestic Short Hair,3
0,Cat,Domestic Short Hair,1
0,Cat,Domestic Short Hair,12
0,Cat,Domestic Short Hair,1
0,Dog,Others,25
0,Dog,Others,16
0,Cat,Domestic Short Hair,25
0,Cat,Domestic Short Hair,28
0,Cat,Domestic Short Hair,28
0,Dog,Others,45
0,Dog,Others,57
0,Dog,Others,62
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,7
0,Cat,Domestic Short Hair,2
0,Dog,Others,1
0,Dog,Others,3
0,Dog,Others,8
0,Dog,Others,25
0,Dog,Others,1
0,Dog,Others,3
0,Dog,Others,8
0,Dog,Others,25
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,2
0,Cat,Domestic Short Hair,8
0,Cat,Domestic Short Hair,6
0,Cat,Domestic Short Hair,5
0,Cat,Domestic Short Hair,6
0,Dog,Others,22
0,Dog,Others,25
0,Dog,Others,25
0,Cat,Domestic Short Hair,6
0,Others,Bird,7
0,Dog,Beagle,14
0,Dog,Beagle,14
0,Dog,Others,0
0,Cat,Others,96
0,Cat,Domestic Short Hair,0
0,Cat,Domestic Short Hair,1
0,Cat,Domestic Short Hair,8
0,Cat,Domestic Short Hair,8
0,Cat,Domestic Short Hair,6
0,Dog,Others,53
0,Cat,Domestic Short Hair,16
0,Dog,Chihuahua,3
0,Others,Guinea Pig,7
0,Dog,Others,71
0,Cat,Domestic Short Hair,14
0,Cat,Domestic Short Hair,29
0,Dog,Others,40
0,Dog,Others,41
0,Cat,Domestic Short Hair,9
0,Cat,Domestic Short Hair,10
0,Cat,Domestic Short Hair,10
0,Cat,Domestic Short Hair,32
0,Cat,Domestic Short Hair,34
0,Cat,Domestic Medium Hair,4
0,Cat,Domestic Medium Hair,4
0,Cat,Domestic Medium Hair,4
0,Cat,Domestic Medium Hair,4
0,Cat,Others,5
0,Cat,Domestic Short Hair,100
0,Dog,Bully Breed Mix,4
0,Dog,Bully Breed Mix,5
